Time(s);pressure(Pa);altitude(m);alt_filtered(m);velocity(m/s)
37.623;113010;3219.37143295212;3220.1198109363027;-2.046495516506155
37.723;113010;3219.37143295212;3219.915161384652;-3.3797967081408817
37.823;113030;3217.986990487834;3219.577181713838;-6.241156224573299
37.923;113050;3216.60274636076;3218.9530660913806;-8.237141901037617
38.024;113070;3215.2187005074134;3218.121114759376;-8.017039030527748
38.123;113070;3215.2187005074134;3217.3274278953536;-6.712565172460832
38.223;113080;3214.526751913546;3216.6561713781075;-4.876964069799145
38.323;113070;3215.2187005074134;3216.1684749711276;-1.6510689193864656
38.423;113060;3215.91069865384;3216.003368079189;-0.7152214509157366
38.723;113080;3214.526751913546;3215.788801643914;-5.343151205843166
38.823;113100;3213.1430033517904;3215.25448652333;-7.6657195400456475
38.923;113120;3211.7594529051585;3214.4879145693253;-3.432747045506739
39.223;113150;3209.684498562418;3213.4580904556733;-8.427864115092115
39.323;113130;3211.0677519552028;3212.615304044164;-4.231896820269807
39.423;113130;3211.0677519552028;3212.192114362137;-4.916789993718149
39.524;113150;3209.684498562418;3211.6955185727716;-5.554832809713408
39.623;113150;3209.684498562418;3211.14559012461;-1.647004994997564
39.923;113160;3208.9929461037464;3210.6514886261107;-2.7723119175577224
40.223;113200;3206.2272310026146;3209.8197950508434;-8.878854446106617
40.323;113190;3206.9185855836904;3208.9319096062327;-6.450865355068253
40.423;113200;3206.2272310026146;3208.286823070726;-8.467543914853074
40.523;113230;3204.1534639255497;3207.4400686792405;-7.0972435300022365
40.623;113210;3205.535925871173;3206.7303443262404;-3.266226512264392
40.723;113210;3205.535925871173;3206.403721675014;-4.263275211151207
40.823;113230;3204.1534639255497;3205.977394153899;-2.292541973177647
41.123;113250;3202.771199683608;3205.2896315619455;-3.443420074202046
41.323;113250;3202.771199683608;3204.600947547105;-5.9484571223082705
41.423;113260;3202.080141681773;3204.0061018348742;-7.085375304730397
41.524;113280;3200.6981738769064;3203.2904789290965;-4.297403918891057
41.623;113250;3202.771199683608;3202.8650359411263;-1.0731422262028747
41.823;113270;3201.3891330821725;3202.6504074958857;-3.038825062018712
42.123;113330;3197.2441184895442;3201.73875997728;-6.1454664937899945
42.323;113330;3197.2441184895442;3200.509666678522;-5.382332167506641
42.524;113350;3195.8628418189396;3199.4278179128532;-10.800902413517875
42.623;113360;3195.17227748448;3198.358528573915;-8.713041680566551
42.723;113360;3195.17227748448;3197.4872244058583;-5.386195443461398
42.823;113350;3195.8628418189396;3196.948604861512;-2.248498372884287
43.123;113390;3193.1008803899554;3196.274055349647;-7.733286426432532
43.223;113380;3193.79129677786;3195.5007267070037;-1.3419825584495366
43.923;113430;3190.339707757472;3194.561338916089;-5.772182921646286
44.123;113430;3190.339707757472;3193.4069023317597;-5.137363368416954
44.323;113450;3188.9594170826076;3192.3794296580763;-11.239264553741872
44.423;113470;3187.5793234181647;3191.255503202702;-8.084954140395958
44.524;113450;3188.9594170826076;3190.438922834522;-4.086685886052674
44.623;113450;3188.9594170826076;3190.034340931803;-5.769835531482304
44.723;113480;3186.889350445216;3189.4573573786547;-8.908987570093688
44.823;113500;3185.509552178595;3188.5664586216453;-6.472758351142055
44.923;113480;3186.889350445216;3187.919182786531;-4.656172490695591
45.024;113500;3185.509552178595;3187.448909364971;-1.8019119571262927
45.423;113520;3184.1299507653566;3186.7299464940775;-4.497962548250694
45.623;113540;3182.75054614275;3185.8303539844273;-8.421964666140292
45.723;113540;3182.75054614275;3184.9881575178133;-6.118915499309791
45.823;113540;3182.75054614275;3184.3762659678823;-5.3885727137139074
45.923;113550;3182.0609176083294;3183.837408696511;-3.371793340761614
46.123;113570;3180.6818080540565;3183.1630500283586;-7.72786028180224
46.223;113580;3179.992327018534;3182.3902640001784;-3.7499946758952696
46.423;113590;3179.3028951336473;3181.6402650649993;-7.261680232537772
46.524;113600;3178.613512391566;3180.906835361513;-8.238616265624561
46.623;113620;3177.2348943044935;3180.091212351216;-2.9629240190024153
46.823;113600;3178.613512391566;3179.4986275474157;-5.247763410743499
46.923;113630;3176.5456589438613;3178.9738512063414;-3.155606237213184
47.223;113660;3174.478247499676;3178.0271693351774;-3.850150615597321
47.524;113680;3173.100218656814;3176.8682739998826;-3.4461635065255423
47.823;113680;3173.100218656814;3175.8378711114315;-9.37020822853797
47.923;113700;3171.7223861036173;3174.9008502885777;-6.740450271581332
48.024;113680;3173.100218656814;3174.220064811148;-5.947517088522995
48.123;113710;3171.033543416122;3173.631260619384;-8.045430629167527
48.223;113720;3170.344749777616;3172.8267175564674;-8.67048286537271
48.323;113740;3168.9673096163597;3171.95966926993;-7.24118632219405
48.423;113730;3169.656005180299;3171.2355506377107;-5.208940412166483
48.524;113740;3168.9673096163597;3170.709447656082;-4.812127921289366
48.623;113740;3168.9673096163597;3170.2330469918743;-4.402831136558172
48.723;113750;3168.278663077998;3169.7927638782185;-3.198844064336254
48.823;113740;3168.9673096163597;3169.472879471785;-2.3240962531962976
48.923;113750;3168.278663077998;3169.240469846465;-1.8181545036547373
49.223;113780;3166.2130175384227;3168.695023495369;-7.7285404303937675
49.323;113790;3165.5245670244117;3167.9221694523294;-7.497665694877362
49.423;113800;3164.8361654969985;3167.1724028828417;-6.325362074370267
49.524;113800;3164.8361654969985;3166.5335413133303;-1.8671494101963833
49.823;113810;3164.1478129484026;3165.9752636396815;-6.879451078375398
49.923;113830;3162.7712547564984;3165.287318531844;-6.8122419740873195
50.024;113830;3162.7712547564984;3164.599282092461;-8.85088426608208
50.123;113870;3160.0187257758994;3163.723044550119;-9.18896232084067
50.223;113860;3160.7067846150994;3162.804148318035;-5.735397760577062
50.323;113860;3160.7067846150994;3162.2306085419773;-4.167010388082358
50.423;113860;3160.7067846150994;3161.813907503169;-2.9248160262955647
50.623;113890;3158.6427548627425;3161.22894429791;-8.012701755160265
50.723;113900;3157.954842773233;3160.427674122394;-5.821568589344596
50.823;113890;3158.6427548627425;3159.8455172634594;-3.2890436551042046
50.923;113890;3158.6427548627425;3159.516612897949;-2.3639430348006116
51.223;113940;3155.203683347737;3158.807429987509;-9.854714458206077
51.323;113940;3155.203683347737;3157.821958541688;-6.219563033750912
51.423;113930;3155.8913998797652;3157.200002238313;-3.5430405229124493
51.524;113930;3155.8913998797652;3156.842155145499;-5.475383062404597
51.623;113960;3153.828396885786;3156.300092222321;-3.3795177913475047
51.823;113960;3153.828396885786;3155.6241886640514;-6.790871402677015
51.923;113980;3152.4533058415864;3154.9451015237837;-2.8979596586578102
52.223;114000;3151.0784101530867;3154.0757136261864;-8.196350305542975
52.323;114000;3151.0784101530867;3153.256078595632;-6.894835680723093
52.423;114010;3150.391035547843;3152.5665950275597;-5.9492299549673655
52.523;114010;3150.391035547843;3151.971672032063;-5.262140435438895
52.623;114020;3149.7037097582693;3151.445457988519;-6.642284214708431
52.723;114040;3148.3292045951466;3150.7812295670483;-6.705245500838733
52.823;114040;3148.3292045951466;3150.1107050169644;-4.871646017077113
52.923;114040;3148.3292045951466;3149.6235404152567;-2.1193243311048313
53.223;114070;3146.2678127743534;3148.9877431159252;-8.377224368418746
53.323;114080;3145.5807797161665;3148.1500206790834;-7.025781386637291
53.423;114080;3145.5807797161665;3147.4474425404196;-3.021916957627646
53.623;114090;3144.893795419458;3146.843059148894;-7.2088172372513215
53.723;114110;3143.519973079534;3146.122177425169;-8.055027215686891
53.823;114120;3142.8331350208546;3145.3166747036003;-5.852319836435443
53.923;114110;3143.519973079534;3144.7314427199567;-5.139601599968984
54.024;114130;3142.146345692731;3144.21234295836;-6.655147114419273
54.123;114140;3141.4596050874266;3143.5534833940324;-5.725866683878767
54.223;114140;3141.4596050874266;3142.9808967256445;-6.03782934188976
54.323;114160;3140.086270014401;3142.3771137914555;-5.325644935392044
54.423;114150;3140.7729131972237;3141.8445492979163;-4.760474745432185
54.524;114170;3139.3996755312314;3141.3637413486276;-5.425136093491172
54.623;114170;3139.3996755312314;3140.826652875372;-5.7795203706972735
54.723;114190;3138.026632632982;3140.2487008383023;-6.076411540266149
54.823;114190;3138.026632632982;3139.6410596842757;-4.414771401661647
54.923;114190;3138.026632632982;3139.1995825441095;-4.105041026769626
55.024;114200;3137.3401842024737;3138.7849734004058;-3.0427391454644623
55.123;114190;3138.026632632982;3138.483742225005;-2.188572596896816
55.223;114200;3137.3401842024737;3138.264884965315;-4.405608232077549
55.323;114220;3135.9674333401126;3137.8243241421073;-5.077806644830999
55.423;114220;3135.9674333401126;3137.3165434776242;-5.510813154849057
55.524;114240;3134.594877091237;3136.7599513489845;-1.4582765956271806
56.123;114270;3132.536407483339;3135.886443668204;-9.160924262032365
56.223;114270;3132.536407483339;3134.9703512420006;-9.469722313728973
56.323;114300;3130.4783754091027;3134.0233790106277;-5.289511485667621
56.524;114310;3129.792461911473;3132.9601872020085;-8.749880302252745
56.623;114310;3129.792461911473;3132.0939490520855;-8.169070989047098
56.723;114330;3128.4207806607324;3131.2770419531807;-7.8106599238843755
56.823;114330;3128.4207806607324;3130.4959759607923;-5.674776606492661
56.923;114330;3128.4207806607324;3129.928498300143;-5.010503112163617
57.024;114340;3127.735012892236;3129.4224374858145;-5.608044283125307
57.123;114350;3127.0492936847513;3128.867241101785;-4.971313048808881
57.223;114350;3127.0492936847513;3128.370109796904;-5.486821611261725
57.323;114370;3125.6780009220392;3127.821427635778;-5.8613605054414695
57.423;114370;3125.6780009220392;3127.235291585234;-4.258527679171433
57.523;114370;3125.6780009220392;3126.8094388173167;-2.1565590228875724
57.623;114360;3126.3636230305747;3126.593782915028;-3.4415176442461837
57.723;114390;3124.3069023111398;3126.2496311506034;-5.312537172107947
57.823;114390;3124.3069023111398;3125.7183774333926;-5.734204609757317
57.923;114410;3122.935997790636;3125.144956972417;-6.908588769244488
58.024;114420;3122.250618295089;3124.447189506723;-7.013871226350803
58.123;114430;3121.5652872991163;3123.7528162553144;-1.5711702605021856
58.623;114450;3120.1947707752274;3122.9672311250633;-4.727562389423316
58.823;114470;3118.824448157622;3122.0217186471787;-8.743175053568724
58.923;114470;3118.824448157622;3121.147401141822;-7.21683317561383
59.024;114480;3118.139359544518;3120.418500991085;-5.3492622038417394
59.123;114470;3118.824448157622;3119.8889240329045;-4.784248570876957
59.223;114490;3117.4543193850004;3119.4104991758168;-7.222414597963404
59.323;114510;3116.0843843960793;3118.6882577160204;-6.183971871991983
59.423;114500;3116.7693276714067;3118.069860528821;-3.18287423852787
59.623;114530;3114.7146431296233;3117.4332856811156;-6.497949337904082
59.723;114520;3115.3994895513692;3116.7834907473252;-4.721036538808153
59.823;114530;3114.7146431296233;3116.3113870934444;-5.30273133602797
59.923;114540;3114.0298451231843;3115.7811139598416;-5.668539564060779
60.024;114550;3113.345095524408;3115.2085914638715;-6.092982001220611
60.123;114560;3112.6603943256423;3114.6053862457507;-6.254842863386241
60.223;114570;3111.975741519243;3113.979901959412;-6.416577446734572
60.323;114580;3111.291137097572;3113.3382442147386;-3.725799271132875
60.423;114560;3112.6603943256423;3112.9656642876253;-1.3534758106448241
